Entity_Name,Entity_Type,Description,First_Mentioned,Source,Role,Connections,Status,Notes
Lachlan Murdoch,Person,Executive Chairman & CEO Fox Corporation,1996,Fox Corp Filings,Ultimate Control,Murdoch Family Trust 36.2% voting control,Active,Sole control after September 2025 settlement
Rupert Murdoch,Person,Chairman Emeritus Fox Corporation & News Corp,1996,Fox Corp Filings,Founder/Advisor,Speaks daily with Lachlan,Semi-Retired,Stepped down November 2023
Suzanne Scott,Person,CEO Fox News Media,2018,Fox News,Day-to-day Operations,Reports to Lachlan Murdoch,Active,First woman CEO of Fox News
Jay Wallace,Person,President & Executive Editor Fox News Media,2018,Fox News,Editorial Control,Reports to Suzanne Scott,Active,Oversees all news programming
John Nallen,Person,President & COO Fox Corporation,2019,Fox Corp,Operations,C-suite executive,Active,Former CFO ~$6.5M SAP target FY2026
Steve Tomsic,Person,CFO Fox Corporation,2019,Fox Corp,Finance,C-suite executive,Active,~$10.3M total compensation FY2025
Paul Ryan,Person,Board Director Fox Corporation,2019,Fox Corp Filings,Governance,Former US House Speaker,Active,Governance Committee Chair Compensation Committee
Chase Carey,Person,Lead Independent Director,2019,Fox Corp Filings,Board Oversight,Former Formula 1 Chairman,Active,Lead independent director owns 244755 shares
Roland Hernandez,Person,Board Director,2019,Fox Corp Filings,Audit,Former Telemundo CEO,Active,Audit Committee Chair sold 17767 shares Oct 2025
Peggy Johnson,Person,Board Director,2023,Fox Corp Filings,Board Member,BlackRock board member,Active,Former Magic Leap CEO ex-Microsoft
William Burck,Person,Board Director,2019,Fox Corp Filings,Compensation,Former White House Counsel,Active,Compensation Committee Chair
Tony Abbott,Person,Board Director,2019,Fox Corp Filings,Board Member,Former Australian Prime Minister,Active,International perspective
Roger Ailes,Person,Fox News Founder & Former CEO,1996-2016,Public Record,Founder,Built Fox News dominance,Deceased 2017,Resigned July 2016 amid harassment allegations
Tucker Carlson,Person,Former Fox News Host,2009-2023,Public Record,Former Primetime Host,Terminated April 2023,Terminated,Post-Dominion settlement termination
Sean Hannity,Person,Fox News Host,1996-Present,Fox News,Primetime Host,Long-tenured anchor,Active,Named in Dominion lawsuit
Laura Ingraham,Person,Fox News Host,2017-Present,Fox News,Primetime Host,Major primetime presence,Active,Named in Dominion lawsuit
Jack Keane,Person,Fox News Contributor,Various,Fox News,Military Analyst,SCP Partners defense VC,Active,Undisclosed defense industry ties
Van Hipp,Person,Fox News Contributor,Various,Fox News,Defense Analyst,American Defense International,Active,Lobbies for Raytheon Palantir
Daniel OBrien,Person,Executive VP Head of Global Government Relations,2022,Fox Political Activities Report,Federal Lobbyist,Coordinates all lobbying activities,Active,Top government affairs executive
Kristopher Jones,Person,Senior VP of Government Relations,2022,Fox Political Activities Report,Federal Lobbyist,Reports to Daniel OBrien,Active,Registered federal lobbyist
Jamie Gillespie,Person,Senior VP of Government Relations,2022,Fox Political Activities Report,Federal Lobbyist,Reports to Daniel OBrien,Active,Registered federal lobbyist
Carissa Smith,Person,VP of Government Relations,2022,Fox Political Activities Report,Federal Lobbyist,Government Relations team,Active,Registered federal lobbyist
Vanguard Group,Institution,Institutional Investor,2019,SEC Filings,Major Shareholder,7.49% ownership,Active,Largest institutional holder
BlackRock Inc,Institution,Institutional Investor,2019,SEC Filings,Major Shareholder,5.7-15.1% ownership estimates,Active,Second largest institutional holder
State Street Corporation,Institution,Institutional Investor,2019,SEC Filings,Major Shareholder,4.59% ownership,Active,Third largest institutional holder
Dodge & Cox,Institution,Institutional Investor,2019,SEC Filings,Institutional Investor,3.1% ownership,Active,Major institutional holder
Palantir Technologies,Corporation,Technology Partner,2025,Axios Disclosure,AI Newsroom Partner,Direct commercial partnership November 2025,Active,Defense contractor with Fox AI partnership
Dominion Voting Systems,Corporation,Plaintiff,2021-2023,Court Filings,Defamation Plaintiff,$787.5M settlement April 2023,Settled,Largest media defamation settlement in history
Smartmatic,Corporation,Active Plaintiff,2021-Present,Court Filings,Defamation Plaintiff,$2.7B lawsuit active,Active Litigation,Appeals court rejected Fox dismissal January 2025
Walt Disney Company,Corporation,Acquirer,2019,SEC Filings,Content Acquirer,Bought 21st Century Fox assets for $71.3B,Transaction Complete,March 2019 deal closed
Comcast Corporation,Corporation,Distributor/Competitor,Ongoing,Public Filings,Cable Provider,Acquired Sky plc owns MSNBC,Active,Major cable distributor and competitor
