Category,Evidence_Item,Source_Type,Quality_Rating,Supports_Capability,Supports_Deployment,Contradicts_Official,Connected_Entities,Investigation_Thread,Notes
Patent,US4686605A Ionospheric Heating (1987),Primary - USPTO,HIGH,YES,UNKNOWN,YES - Patent claims weather mod,APTI→BAE→Raytheon→RTX,RTX ownership chain,Foundation patent for HAARP explicitly mentions weather modification
Patent,US5003186 Stratospheric Seeding (1991),Primary - USPTO,HIGH,YES,UNKNOWN,YES - Uses thorium oxide,Hughes Aircraft→Raytheon→RTX,RTX ownership chain,Thorium oxide concerns + Raytheon ownership = major thread
Patent,US5984239A Satellite Weather Mod (1999),Primary - USPTO,HIGH,YES,UNKNOWN,YES - Space-based systems,Unknown individual inventor,Satellite system capabilities,Claims global weather modification via satellite energy beams
Patent,US6111237A Microwave Energy System (2000),Primary - USPTO,HIGH,YES,UNKNOWN,YES - Military weapon + weather,Unknown inventor,Directed energy weapons,Explicitly states military and weather modification applications
Patent,US8785840 Lightning Generation (2014),Primary - USPTO,HIGH,YES,UNKNOWN,YES - Hurricane control claims,David Joseph Schulte,Weather weapons,Claims ability to start or diffuse hurricanes using radar/microwave
Research,Teramobile Laser Lightning Control (2023),Primary - Peer reviewed,HIGH,YES,LIMITED - Research only,NO,International collaboration,Laser weather systems,Demonstrated 50-meter lightning guidance July 2021
Research,UFC Laser Precipitation (2014),Primary - Peer reviewed,HIGH,YES,LIMITED - Lab/field only,NO,DOD funded,Laser weather systems,DOD funded research extends filaments 7-fold
Research,Fog Clearing Quantum Heating (2020),Primary - Peer reviewed,HIGH,YES,LIMITED - Small scale,NO,U.S./Swiss collaboration,Laser weather systems,Creates clear tubes in clouds - fiber optic application
Facility,HAARP (1990-present),Primary - Gov/University,HIGH,YES,YES - Research only (officially),PARTIAL,USAF→DARPA→ONR→UAF,HAARP capabilities,Transferred to UAF 2015 after 25 years military research
Facility,EISCAT Norway (operational),Primary - International,HIGH,YES,YES - Research,NO,European collaboration,International heaters,1 GW ERP - most powerful ionospheric heater
Facility,Sura Russia (operational),Primary - Government,MEDIUM,YES,YES - Research,UNKNOWN,Russian government,International heaters,190 MW ERP - Russian ionospheric research
Event,Hurricane Helene (Sept 2024),Primary - NOAA/NWS,HIGH,N/A,NO EVIDENCE FOUND,NO,Natural event (officially),Weather event analysis,"Worst case scenario" inland flooding - no modification evidence found
Event,Texas Flood + Rainmaker (July 2025),Primary - News/Gov,HIGH,Cloud seeding only,YES - Commercial,PARTIAL,Rainmaker Technology Corp,Commercial weather mod,Company stopped operations day before flood but blamed anyway
Corporate,RTX Corp Weather Tech Consolidation,Primary - Corporate,HIGH,YES,UNKNOWN,YES - Why one entity?,RTX owns: Hughes APTI FlightAware,RTX investigation thread,Single corporation owns: weather patents + flight tracking + defense
Corporate,FlightAware Acquisition by Raytheon (2021),Primary - Corporate,HIGH,MONITORING CAPABILITY,YES,UNKNOWN,Raytheon→RTX→FlightAware,Flight tracking connection,Why does defense contractor need flight tracking platform?
Program,Operation Popeye Vietnam (1967-1972),Primary - Declassified,HIGH,YES,YES - Historical,YES - Worked effectively,U.S. Military / China Lake,Historical weather warfare,Extended monsoon 30-45 days - first successful weather warfare
Program,Project Stormfury (1962-1983),Primary - Declassified,MEDIUM,YES,YES - Attempted,PARTIAL - Inconclusive,U.S. Government,Hurricane modification attempts,21 years attempting hurricane modification - inconclusive results
Program,China Weather Modification (1996-present),Primary - Gov statements,HIGH,YES,YES - Massive scale,YES - Openly acknowledged,Beijing Weather Mod Office,International programs,250 billion metric tons artificial rain (claimed) 1996-2006
Program,UAE Cloud Seeding (2000s-present),Primary - Gov program,HIGH,YES,YES - Active,NO,UAE Government,International programs,Active program aims 15-30% rainfall increase - blamed for Dubai floods
Treaty,UN ENMOD Convention (1977),Primary - Int'l Treaty,HIGH,CONFIRMS MILITARY CAPABILITY,HISTORICAL,YES - Existence confirms tech,United Nations,Legal framework,Treaty banning hostile weather mod confirms it was real enough to ban
Document,USAF Weather as Force Multiplier (1996),Primary - Military,HIGH,CAPABILITY ACKNOWLEDGED,TIMELINE TO 2025,YES,U.S. Air Force,Military weather control,"Owning the Weather in 2025" - military document discussing weather control
Document,NRC Critical Issues Study (2003),Primary - Scientific,HIGH,LIMITED CAPABILITY,UNCERTAIN,PARTIAL,"National Research Council, NAS",Scientific assessment,"No convincing proof" of cloud seeding effectiveness yet programs continue
Document,DTIC Operational Defenses 2030,Primary - Military,HIGH,BATTLEFIELD APPLICATIONS,TIMELINE TO 2030,YES,Defense Technical Info Center,Military future planning,Discusses defensive weather creation using nano/micro tech
Statement,NOAA Hurricane Helene Response (2024),Primary - Official,HIGH,N/A,DENIES CAPABILITY,Official Narrative,NOAA,Official denials,"No one creates or steers hurricanes" - emphatic denial
Statement,HAARP FAQ - Weather Modification,Primary - Official,HIGH,DENIES WEATHER EFFECT,IONOSPHERE ONLY,Official Narrative,UAF / HAARP,Official denials,"Cannot affect weather - no interaction between ionosphere and troposphere"
Statement,Trump EPA Response (July 2025),Primary - Government,MEDIUM,ACKNOWLEDGES CONCERN,TRANSPARENCY FOCUS,NUANCED,EPA under Lee Zeldin,Political response,"Legitimate questions deserve straight answers" - unusual framing
