Category,Entity_Event,Description,Date,Location,Actors,Technology,Evidence_Type,Significance,Status,Connection_to_Research
FlightRadar24_History,Aviation Enthusiast Origin,FlightRadar24 started as hobby project by Swedish aviation enthusiasts,2006,Sweden,Mikael Robertsson and friends,ADS-B receiver network,Corporate History,Platform Origins,Historical,Grassroots surveillance infrastructure
FlightRadar24_History,ADS-B Network Expansion,Crowdsourced ADS-B receiver network grows globally,2007-2010,Global,Aviation enthusiast community,ADS-B receivers and data sharing,Network Growth,Global Coverage,Historical,Distributed surveillance architecture
FlightRadar24_History,Public Launch,FlightRadar24 launches public website for flight tracking,2009,Global,FlightRadar24 AB,Web platform + ADS-B network,Platform Launch,Public Access,Historical,Democratized flight tracking data
FlightRadar24_Surveillance,FBI Surveillance Exposed,FlightRadar24 users identify FBI surveillance aircraft over US cities,2015,United States,FBI / Public investigators,Cessna surveillance flights,Investigative Journalism,Covert Program Revealed,Exposed,"Revealed previously classified domestic surveillance; pattern analysis by users"
FlightRadar24_Surveillance,Police Surveillance Tracking,Platform used to track police aerial surveillance operations,2015-2020,United States,Law enforcement / Privacy advocates,Police aircraft tracking,Public Monitoring,Transparency Tool,Ongoing,Public accountability for aerial surveillance
FlightRadar24_Geopolitics,Ukraine Invasion Tracking,Users track Russian oligarch jets fleeing sanctions,February 2022,Global,Russian oligarchs / Tracking community,Flight pattern analysis,Open Source Intelligence,Geopolitical Impact,Historical Event,Flight tracking as geopolitical intelligence
FlightRadar24_Geopolitics,Military Flight Monitoring,Platform tracks military movements during conflicts,Ongoing,Global,Military forces / OSINT community,Military flight pattern analysis,Open Source Intelligence,Conflict Monitoring,Active,Military transparency through civilian platform
FlightRadar24_Corporate,Defense Contractor Interest,Defense contractors show interest in flight tracking data,2010s-Present,Global,Raytheon and others,Data acquisition and integration,Corporate Strategy,Surveillance Integration,Active,Convergence of civilian and military tracking
FlightRadar24_Corporate,Raytheon FlightAware Acquisition,Raytheon acquires FlightAware flight tracking service,Approx. 2020s,United States,Raytheon,Flight tracking platform,Corporate Acquisition,Defense Contractor Control,Active,Defense contractor owns flight tracking infrastructure
FlightRadar24_Technology,ADS-B Technology,Automatic Dependent Surveillance-Broadcast aircraft transponder system,Ongoing,Global,Aviation industry,Aircraft transponder broadcasts,Core Technology,Real-Time Tracking,Standard,Aircraft continuously broadcast position/altitude/speed
FlightRadar24_Technology,Multilateration,Ground station triangulation for aircraft without ADS-B,Ongoing,Global,FlightRadar24 network,MLAT ground stations,Supplementary Technology,Extended Coverage,Operational,Tracks aircraft without ADS-B transponders
FlightRadar24_Technology,Satellite ADS-B,Space-based ADS-B receivers for oceanic coverage,2020-Present,Global,Satellite operators,Satellite ADS-B receivers,Emerging Technology,Global Ocean Coverage,Expanding,Eliminates oceanic tracking gaps
FlightRadar24_Data,Atmospheric Data Collection,Aircraft transmit altitude/temperature data during flight,Ongoing,Global,Commercial aviation,Aircraft sensors + ADS-B,Data Stream,Atmospheric Monitoring,Continuous,Unintentional atmospheric data collection network
FlightRadar24_Data,Flight Pattern Database,Historical database of all tracked flights worldwide,2006-Present,Global,FlightRadar24,Database infrastructure,Data Asset,Pattern Analysis,Active,Comprehensive historical flight records
FlightRadar24_Integration,Weather Intelligence Potential,Flight data could integrate with weather monitoring systems,Potential,Global,Defense contractors + Weather companies,Data integration platforms,Theoretical Integration,Surveillance-Weather Nexus,Potential,"Could feed data to Tomorrow.io, Palantir, Raytheon systems"
C-17_Investigation,Minersville Sighting,C-17 Globemaster III observed at extremely low altitude over town,October 2 2025,Minersville Pennsylvania,U.S. Air Force,C-17 military transport,Photo/Video Evidence,Unusual Military Activity,Documented,Eyewitness account with visual documentation
C-17_Investigation,Altitude Analysis,Aircraft estimated at approximately 200 feet altitude over populated area,October 2 2025,Minersville Pennsylvania,Observer,Visual estimation + photo analysis,Analytical Assessment,Safety Concern,Documented,Extremely low for populated area overflight
C-17_Investigation,Flight Direction,Aircraft heading northeast ascending slowly,October 2 2025,Minersville Pennsylvania,Observer,Visual observation,Observational Data,Flight Path,Documented,Direction toward Fort Indiantown Gap
C-17_Investigation,Photo Documentation,Photos and video captured with metadata,October 2 2025,Minersville Pennsylvania,Observer,Smartphone camera,Primary Evidence,Visual Confirmation,Documented,Metadata confirms location and time
C-17_Investigation,Aircraft Identification,Confirmed as C-17 Globemaster III via photo analysis,October 2 2025,Analysis,Observer + Claude analysis,Photo comparison + aircraft database,Analytical Confirmation,Positive ID,Confirmed,Distinctive aircraft features visible in photos
C-17_Investigation,Location Coordinates,Precise location extracted from photo metadata,October 2 2025,Minersville Pennsylvania,Metadata analysis,GPS coordinates in EXIF data,Geolocation Data,Precise Position,Documented,Exact coordinates from smartphone metadata
