Year,Date,Event,Category,Location,Actors,Technology,Outcome,Evidence_Quality,Source_Type,Impact,Notes
1830,1830s,James Pollard Espy Rain Theory,Theory,United States,James Pollard Espy,Thermal convection theory,Theory published,Primary,Historical Record,Theoretical Foundation,Proposed large fires could induce rainfall through convection
1891,August 1891,Dyrenforth Rain Experiments,Military Test,Texas,General Robert Dyrenforth / USDA,Explosives and cannons,Failed,Primary,Government Record,Military Interest,Congress funded $9000; explosives to stimulate rain; widely ridiculed
1902,1902,Charles Hatfield First Contract,Commercial,Los Angeles California,Charles Hatfield,Secret chemical mixture,Success claimed,Secondary,Historical Record,Commercial Birth,First of many contracts; $50-$10000 fees; established commercial market
1915,December 1915,San Diego Hatfield Contract,Commercial Disaster,San Diego California,Charles Hatfield / San Diego City Council,Chemical evaporation towers,$10000 contract,Primary,Government Record,Catastrophic Flood,Contract signed Dec 1915 for $10K; Hatfield never paid due to disaster
1916,January 1916,San Diego Catastrophic Flood,Disaster,San Diego California,Charles Hatfield,Chemical cloud seeding,Disaster - 20+ deaths,Primary,Historical Record,Major Catastrophe,"Flood destroyed dam, killed 20+, $3.5M damage; Hatfield blamed but never paid"
1924,1924,Early Scientific Attempts,Research,Various,Various scientists,Various experimental methods,Failed attempts,Secondary,Research Record,Scientific Interest,Multiple scientists attempted weather modification before GE success
1946,July 1946,Vincent Schaefer GE Discovery,Scientific Breakthrough,Schenectady New York,Vincent Schaefer / General Electric,Dry ice cloud seeding,Successful snowfall,Primary,Scientific Record,Major Breakthrough,First scientifically successful weather modification; lab accident discovery
1947,1947,Project Cirrus Begin,Military Research,United States,GE / US Military,Cloud seeding experiments,Research program,Primary,Government Record,Military Application,First large-scale military weather modification experiments
1947,1947,Bernard Vonnegut Silver Iodide,Scientific Discovery,Schenectady New York,Bernard Vonnegut / General Electric,Silver iodide seeding,Successful technique,Primary,Scientific Record,Technical Advancement,Silver iodide becomes standard seeding agent; still used today
1952,1952,Project Cirrus End,Research Conclusion,United States,GE / US Military,Cloud seeding,Program concluded,Primary,Government Record,Research Phase End,Ended after 5 years of experiments; mixed results
1958,January 1958,Charles Hatfield Death,Historical,California,Charles Hatfield,N/A,Secret formula died with him,Primary,Historical Record,End of Era,Died without revealing his chemical formula; mystery remains
1962,1962,Project Stormfury Begin,Hurricane Research,Atlantic Ocean,NOAA / US Navy,Hurricane silver iodide seeding,Research program,Primary,Government Record,Hurricane Modification,21-year program attempting to weaken hurricanes
