Patent_Number,Patent_Date,Title,Inventor_Assignee,Technology_Type,Method_Description,Materials_Chemicals,Energy_Source,Military_Civilian,Current_Status,5W1H_WHO,5W1H_WHAT,5W1H_WHERE,5W1H_WHEN,5W1H_WHY,5W1H_HOW,BEYOND_Who_Benefits,BEYOND_Who_Funded,BEYOND_Whats_Missing,Source_URL,Investigation_Leads,Analysis_Status,Analysis_Batch,Analysis_Date,Analysis_Verdict
US1338343A,1920-04-27,Process And Apparatus For The Production of Intense Artificial Clouds Fogs or Mists,Unknown,Cloud/Fog Generation,Apparatus for generating artificial clouds and fog,Unknown chemicals,Unknown,Civilian/Military,Expired,Unknown inventor,Artificial cloud and fog generation system,United States,1920,Early weather modification attempts,Chemical dispersion apparatus,Military concealment and civilian applications,Unknown,Modern deployment details,patents.google.com,Earliest documented fog generation patent - pre-WWI military applications?,Not_Analyzed,,,
US2550324A,1951-04-24,Process For Controlling Weather,Harvey M. Brandau / W.O. Inc.,Weather Control General,Comprehensive weather control including dissipating clouds/fog/storms and controlling precipitation,Unspecified,Unknown,Civilian/Military,Expired - Foundational,Harvey M. Brandau for W.O. Inc.,Complete weather control system covering: fog dissipation hail control lightning control precipitation control storm dissipation,United States (Delaware corporation),Filed 1948 / Granted 1951,"Control weather generally - prevent hail damage lightning interference provide rain prevent floods provide good weather for events",Dissipation of visible water vapor and moisture particle control,Businesses dependent on weather - agriculture transportation recreation,W.O. Inc. (Delaware corporation),Actual testing results and deployment history,https://patents.google.com/patent/US2550324A/en,Very broad claims - who is W.O. Inc? What was actually tested?,Not_Analyzed,,,
US3613992A,1971-10-19,Weather Modification Method,Unknown,Cloud Seeding,Cloud seeding methods using silver iodide particles,Silver iodide,Aircraft delivery,Civilian,Active use in industry,Unknown,Silver iodide cloud seeding - became industry standard,United States,1971,Increase atmospheric precipitation,Silver iodide particle dispersion into clouds,Commercial cloud seeding industry - ski resorts water management,Commercial interests,Long-term environmental impact studies,patents.google.com,Still used today - environmental accumulation of silver iodide?,Not_Analyzed,,,
US4686605A,1987-08-11,Method and apparatus for altering a region in the earth's atmosphere ionosphere and/or magnetosphere,Bernard J. Eastlund / APTI Inc.,Ionospheric Heating,Radio frequency heating of ionosphere using electron cyclotron resonance,None - electromagnetic,High-frequency radio waves (HF),Military,Cited in HAARP development,Bernard J. Eastlund for APTI Inc.,"Ionospheric modification for: communications enhancement weather modification (explicitly mentioned) missile defense over-horizon radar",Earth's ionosphere (30-500 miles altitude),Filed 1985 / Granted 1987,"Military applications: communication missile defense weather modification",Focused electromagnetic radiation at electron cyclotron resonance frequency to heat ionosphere,Military communication and defense systems,"APTI Inc. (became BAE Systems, now Raytheon)",Actual deployment beyond research,https://patents.google.com/patent/US4686605A/en,"HAARP connection - this is THE patent cited for ionospheric heating. APTI became BAE, now Raytheon owns tech?",Not_Analyzed,,,
US5984239A,1999-11-16,Weather modification by artificial satellites,Peter Cordani,Satellite-Based Systems,Space-based weather modification using satellite engines with multiple energy beam types,None - energy beams only,"Solar energy, MMW, microwave, infrared, laser",Civilian/Military,Unknown deployment status,Peter Cordani,"Satellite Weather Modification System (SWMS) - satellites (Satellite Engines) that can: reflect solar energy discharge MMW/RF/microwave pulses discharge infrared radiation discharge laser light",Earth orbit - targeting atmosphere below,Filed 1997 / Granted 1999,Modify earth's weather and thermodynamics from space,Multiple energy beam types (solar MMW RF microwave IR laser) directed at specific air masses,"Weather-dependent industries (stated: agriculture, transportation, recreation)",Unknown - individual inventor,Actual satellite deployment and testing,https://patents.google.com/patent/US5984239A/en,Space-based weather mod - has this been deployed? Military satellite capabilities?,Not_Analyzed,,,
US6111237A,2000-08-29,Microwave facilitated atmospheric energy projection system,Unknown,Directed Energy,Microwave energy at resonant frequency of oxygen/water to heat atmosphere and create plasma pathways,Oxygen and water molecules targeted,Microwave transmitters (Magnetrons Klystrons Gyrotrons),Military,Unknown deployment,Unknown inventor,"MFAEPS - uses microwaves at oxygen resonance (60 GHz) or water resonance (118 GHz) to: heat atmosphere create plasma pathways guide electrical discharge","Atmosphere at 100+ meters from apparatus, up to kilometers",Filed 1999 / Granted 2000,"Military applications explicitly stated: deliver hundreds of amps to targets confuse/immobilize technology deliver electric charge at 1/5 speed of light",Resonant frequency microwave heating of oxygen/water molecules to create favorable plasma pathway,Military weapons and atmospheric control,Military funding implied,Deployment status and operational use,https://patents.google.com/patent/US6111237A/en,Microwave weapon with weather modification capability - current military use?,Not_Analyzed,,,
US20090084860A1,2009-04-02,Hurricane and Tornado Control Device,Unknown,Storm Control,Hurricane and tornado suppression using microwave atmospheric manipulation,None - electromagnetic,Microwave transmitters,Civilian/Military,Patent Application,Unknown,"Hurricane/tornado control through microwave manipulation of: pressure systems wind patterns temperature differentials",Hurricane and tornado formations,Application filed 2009,Reduce intensity of tropical storms and hurricanes,Microwave alteration of atmospheric conditions,Disaster mitigation and potentially military,Unknown,Deployment testing and results,patents.justia.com,Did this patent get granted? Any testing conducted?,Not_Analyzed,,,
US20130015260,2013-01-17,Concept for utilizing high-frequency radar or microwave devices to produce lightning electromagnetic pulse and acoustic shockwaves,David Joseph Schulte,Lightning/Thunder Generation,Using radar/microwave to replicate lightning and thunder for weapons and weather modification,None - electromagnetic,Radar and microwave emitters,Military/Weather Modification,Granted as US8785840 in 2014,David Joseph Schulte (Galesburg MI),"Generate: lightning (EMP - hundreds of millions of volts) thunder (ultrasonic boom/acoustic shockwave) Uses: missile defense vehicle/aircraft destruction weather modification (explicitly stated: start or diffuse hurricanes)",Space satellites helicopters tanks aircraft,Application 2004 / Published 2013 / Granted 2014,"Military weaponry AND weather modification, including hurricane control",High-frequency soundwaves (radar/microwave) to create electromagnetic pulse and acoustic shockwave,Military - stated obsoletes guns and projectiles,Individual inventor - DOD interest?,Actual military adoption and deployment,https://patents.justia.com/patent/20130015260,"New discovery of lightning/thunder mechanism? Hurricane control claims bold, current military use?",Not_Analyzed,,,
US3659785,1971-12-08,Weather Modification Utilizing Microencapsulated Material,Unknown,Microencapsulation,Cloud seeding using microencapsulated materials,Microencapsulated materials,Aircraft delivery,Civilian,Expired,Unknown,Microencapsulated materials for weather modification - time-release seeding,United States,1971,Improved cloud seeding efficiency,Microencapsulation of seeding materials,Agricultural and water management,Unknown,Testing results and environmental persistence,patents.google.com,Microencapsulation for controlled release - environmental fate?,Not_Analyzed,,,
US3899144,1975-08-12,Powder contrail generation,Unknown,Contrail Generation,Generation of powder contrails,Powder materials,Aircraft,Military/Civilian,Expired,Unknown,Apparatus and method for generating powder contrails from aircraft,Atmosphere via aircraft,1975,Contrail generation for various purposes,Powder dispersion from aircraft,Military visual effects potentially,Military/civilian aviation,Long-term atmospheric effects,patents.google.com,Contrail generation separate from normal jet contrails - purpose?,Not_Analyzed,,,
US3899129,1975-08-12,Apparatus for generating ice nuclei smoke particles for weather modification,"Norikiko Fukuta, Young H. Paik / US Dept of Interior",Cloud Seeding,Ice nuclei generation for cloud seeding,Ice nucleating materials,Ground-based burners,Civilian,Expired,US Department of the Interior,Ground-based ice nuclei smoke generation for cloud seeding using supersonic nozzle technology,Ground level with vertical dispersion,1975,Weather modification through ice nucleation for precipitation enhancement,Superheated steam + organic compounds through Mach 2+ nozzle creates ice nuclei particles,Agricultural water management,US Department of Interior research budget,Actual deployment and effectiveness,patents.google.com,ANALYZED: Legitimate cloud seeding research equipment - ground-based not aircraft - standard weather modification technology,Analyzed,2,2024-12-10,LEGITIMATE: Ground-based cloud seeding equipment for agricultural water management
US3813875,1974-06-04,Rocket Having Barium Release System to Create Ion Clouds In The Upper Atmosphere,"C. Stokes, E. Smith, T. Paine, B. Lewis, W. Murphy / NASA",Ionospheric Modification,Creating ion clouds in upper atmosphere using barium release,Barium salts (BaCl2 and Ba(NO3)2) in hypergolic fuel,Rocket launch with liquid hypergolic system,Military/Research,Expired,NASA (National Aeronautics and Space Administration),Rocket-launched barium ion cloud generator for geophysical research - releases at 100+ km altitude,Upper atmosphere (100+ km) and magnetosphere,1974,Study ionosphere geomagnetic fields and magnetospheric properties through visible barium clouds,Binary liquid hypergolic system: hydrazine fuel with barium salts + fluorine oxidizer creates 75% ionized barium plasma,Scientific research - geophysics and space physics,NASA research programs,Deployment history - how many launches? Current programs?,patents.google.com,ANALYZED: Legitimate NASA space physics research - not weather mod - releases at space altitudes not flight levels - visible scientific observation program,Analyzed,2,2024-12-10,LEGITIMATE: NASA scientific research tool for geomagnetic field mapping and ionospheric studies
US3940060,1976-02-24,Vortex Ring Generator,Hermann Viets (individual inventor),Vortex Generation,Generate vortex rings in atmosphere to clear fog/clouds/inversions,None - mechanical air movement,Mechanical generator (springs or hydraulics),Research/Military,Expired,Hermann Viets,Ground-based mechanical device to generate hot vortex rings for clearing atmospheric obstacles,Ground-based - airports and industrial sites,1976,Clear fog for airport visibility and propel smokestack emissions through thermal inversions,Circular ringwing (airfoil) impulsively accelerated downward creates concentrated vorticity toroidal vortex,Aviation safety (airport beacons) and industrial pollution dispersal,Individual inventor,Commercial adoption - any airports or facilities use this?,patents.google.com,ANALYZED: Legitimate industrial/aviation safety equipment - ground-based fog dispersal device - no chemical dispersal - mechanical air movement only,Analyzed,2,2024-12-10,LEGITIMATE: Ground-based fog dispersal and industrial emission management device for airports and smokestacks
US4042196,1977-08-16,Method and apparatus for triggering a substantial change in earth characteristics and measuring earth changes,Neil M. Brice / Cornell Research Foundation,Geophysical Modification,Triggering ionospheric changes through cold plasma injection from satellites,Ionized hydrogen (cold plasma),Satellite-based gas release system,Military/Research,Expired - Significant,Cornell Research Foundation (NSF funded),Satellite-released ionized hydrogen to trigger energetic particle precipitation in magnetosphere,Magnetosphere - thousands of km altitude near magnetic equator,1977,Scientific research - study plasma physics magnetospheric dynamics and ionospheric properties,Cold plasma injection enhances whistler-mode turbulence causing measurable particle precipitation and potential artificial aurora,Academic space physics research,National Science Foundation (Grants GA 11415 and GA 878),Actual satellite missions - was this deployed? Results?,patents.google.com,ANALYZED: Legitimate academic space physics research - Cornell/NSF funded - satellite-based at extreme altitudes - ionospheric science not weather control,Analyzed,2,2024-12-10,LEGITIMATE: Academic space physics research for studying magnetospheric plasma dynamics
