Category,Subcategory,Finding,Date,Time/Period,Monetary Value,Source,Key Players,Potential Connections,Investigative Leads,Cross References,Notes
Technology,Core Function,ADS-B network with 50000+ ground receivers,2025,Current,$0 (volunteer network),FlightRadar24,Volunteers globally,Crowdsourced surveillance,How many receivers in sensitive areas?,Privacy implications,Each receiver covers 250-450km radius
Technology,Core Function,MLAT requires 3+ receivers for triangulation,2024-2025,Current,N/A,FlightRadar24,N/A,Older aircraft tracking,Which aircraft lack ADS-B?,ADS-B mandate timeline,Reduced from 4 to 3 receivers recently
Technology,Coverage,Satellite-based ADS-B for oceanic coverage,March 2020,Launched 2020,Unknown cost,Multiple providers,Satellite operators,Global surveillance capability,Who owns the satellites?,Military applications,Blue icons on map = satellite tracked
Technology,DIY Tracking,$20 DIY ADS-B receiver possible,2023,Current,$20,Community forums,Hobbyists/Linux developers,Bypasses all blocking,GitHub repositories for code,ADS-B Exchange community,Raspberry Pi + antenna setup
Business,Revenue,FlightRadar24 revenue >$20M in 2021,2021,Annual,>$20 million,Swedish financial filings,FlightRadar24 AB Sweden,Doubling revenue 2018-2021,What's 2024 revenue?,Flight tracking market growth,More than doubled from 2018
Business,Acquisition,Raytheon bought FlightAware for ~$100M,Pre-2021,One-time,$100 million (est),SEC filings,Raytheon/FlightAware,Defense contractor control,Why does Raytheon want flight data?,Military-industrial complex,Total deal was $1.1B with another company
Business,Acquisition,ADSBX sold to JetNet/Silversmith Capital,January 2023,2023,Undisclosed amount,Forbes reporting,Dan Streiffert/JetNet/Silversmith,Profit motive vs open data,Track ownership changes,Community backlash,Boston-based private equity
Business,Market,Flight tracking industry rapid growth,2018-2025,7 year trend,Unknown total,Industry analysis,Multiple companies,Increasing value of data,Who else is entering market?,Data monetization models,Aviation industry wants historical data
Legal,GDPR,Swedish authority reprimanded FR24,August 2025,2025,Potential fines avoided,Swedish IMY,FlightRadar24/Complainants,Aircraft data = personal data,EU-wide enforcement pattern,Privacy vs transparency,Only 10-20 erasure requests total
Legal,Blocking,FAA LADD program for privacy,2022-current,Ongoing,Free service,FAA,Private aircraft owners,US-centric solution,International equivalents?,US vs EU approaches,FR24 respects LADD
Legal,Blocking,Privacy ICAO Address (PIA) Program,Post-2020,Ongoing,Free to operators,FAA,Private operators,Temporary anonymization,How many using PIA?,Alternative ICAO codes,Provides alternative aircraft address
Legal,Anti-Blocking,ADSBX refuses all blocking requests,2017-2023,Policy,N/A,ADSBX Exchange,Community feeders,Ideological commitment,Post-acquisition policy?,Ethical boundaries,"Never censor or block" motto
